"id1" "id2" "time"
1 2 1
1 3 1
2 3 1
5 3 2
6 2 3
7 2 4
8 7 5
9 5 6
10 7 7
11 5 8
12 1 9
13 6 10
14 2 11
15 5 12
16 9 13
17 3 14
18 13 15
19 14 16
20 3 17
21 2 18
22 16 19
23 3 20
24 21 21
25 1 22
26 3 23
27 5 24
27 9 24
28 3 25
29 20 26
30 21 27
31 2 28
32 5 29
33 1 30
34 1 31
35 27 32
36 14 33
36 3 33
37 5 34
38 21 35
39 3 36
40 3 37
41 2 38
42 24 39
43 29 40
44 5 41
45 39 42
46 41 43
47 19 44
48 5 45
49 6 46
50 36 47
51 16 48
52 39 49
53 44 50
54 3 51
55 2 52
56 5 53
57 5 54
58 19 55
59 20 56
60 36 57
61 10 58
61 49 58
62 52 59
63 43 60
64 35 61
65 7 62
66 34 63
66 35 63
67 29 64
68 1 65
69 43 66
70 44 67
71 16 68
72 16 69
73 7 70
74 12 71
75 68 72
76 31 73
77 62 74
78 73 75
79 21 76
80 36 77
81 41 78
82 5 79
83 68 80
84 38 81
85 5 82
86 49 83
87 75 84
88 52 85
89 14 86
90 3 87
91 68 88
92 5 89
93 25 90
94 5 91
95 12 92
96 47 93
97 2 94
98 78 95
99 19 96
100 20 97
101 9 98
102 49 99
103 44 100
104 39 101
105 20 102
106 25 103
107 60 104
108 20 105
109 24 106
110 6 107
111 98 108
112 3 109
113 2 110
113 81 110
114 102 111
115 20 112
116 39 113
117 63 114
118 16 115
119 89 116
120 25 117
120 98 117
121 51 118
122 21 119
123 73 120
124 8 121
125 77 122
126 1 123
127 80 124
128 73 125
129 16 126
130 44 127
130 39 127
131 60 128
132 39 129
132 58 129
133 76 130
134 63 131
135 2 132
136 83 133
137 36 134
138 16 135
139 101 136
140 67 137
141 61 138
142 23 139
143 26 140
144 5 141
145 5 142
146 12 143
147 5 144
148 51 145
149 5 146
150 21 147
151 100 148
152 3 149
153 2 150
154 68 151
155 12 152
155 5 152
156 7 153
156 16 153
157 92 154
158 83 155
159 5 156
160 147 157
161 94 158
162 54 159
162 155 159
163 110 160
164 51 161
165 5 162
166 49 163
167 36 164
168 42 165
169 16 166
170 148 167
171 19 168
172 14 169
172 5 169
173 132 170
173 1 170
174 16 171
174 2 171
175 5 172
175 8 172
176 14 173
177 107 174
178 105 175
179 83 176
180 42 177
181 21 178
182 16 179
183 60 180
183 144 180
184 29 181
185 49 182
186 93 183
187 170 184
188 68 185
188 82 185
189 54 186
190 40 187
191 54 188
192 77 189
193 6 190
194 55 191
195 5 192
196 85 193
197 126 194
198 117 195
199 3 196
200 142 197
201 78 198
202 75 199
203 20 200
204 1 201
205 54 202
206 16 203
207 66 204
208 1 205
209 12 206
210 82 207
211 1 208
212 26 209
213 136 210
213 1 210
214 213 211
215 1 212
216 82 213
217 14 214
218 5 215
219 11 216
220 82 217
221 40 218
222 2 219
223 204 220
224 5 221
225 6 222
226 5 223
227 130 224
228 8 225
229 25 226
230 83 227
231 172 228
231 58 228
232 20 229
233 76 230
234 79 231
235 103 232
235 1 232
236 21 233
237 1 234
238 64 235
239 53 236
240 31 237
241 1 238
242 54 239
243 64 240
244 130 241
245 5 242
246 5 243
247 31 244
248 5 245
249 80 246
250 173 247
251 100 248
252 1 249
252 35 249
253 1 250
254 136 251
255 28 252
256 147 253
257 192 254
258 235 255
259 77 256
260 51 257
261 60 258
262 130 259
263 64 260
264 208 261
265 5 262
266 256 263
267 12 264
268 61 265
269 247 266
270 99 267
271 223 268
272 7 269
273 36 270
274 175 271
274 132 271
275 142 272
276 25 273
277 89 274
278 2 275
279 75 276
280 130 277
281 2 278
282 130 279
283 168 280
284 60 281
285 6 282
286 3 283
287 2 284
288 244 285
289 131 286
290 19 287
291 190 288
292 137 289
293 20 290
294 16 291
295 260 292
296 212 293
297 235 294
298 226 295
298 11 295
299 68 296
300 39 297
301 185 298
301 66 298
302 7 299
303 12 300
